,Age,Gender,Race,Wt,BMI,InitialHospDays,TotalHospDays,NYHA,MLHFS,AF,AlchE,ANGP,ARRH,CARREST,CVD,COPD,DEPR,DIAB,GOUT,HEPT,HTN,MALIG,RENAL,SMOKING,STERD,StrokeTIA,VAHD,VF,VHD,VT,ISCH,NonISCH,CABG,HTRANS,ICD,PACE,PTCI,SixFtWlk,VO2,ALB,ALT,AST,BUN,CRT,DIAL,HEC,HEM,PLA,POT,SOD,TALB,TOTP,WBC,ACE,BET,NIT,DIUR,EjF,BPDIAS,BPSYS,HR,PV,MAP,PP,PPP,PPRatio,cluster,Death
25%,63.0,1.0,0.0,72.25169840575,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,30.0,67.0,126.0,0.0,0.0,174.0,50.0,0.38461538461538464,0.5528246515040351,2.0,0.0
50%,70.0,2.0,0.0,86.1825503,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0,80.0,147.0,0.0,0.0,200.66666666666663,67.0,0.4566473988439306,0.7777777777777778,2.0,0.0
75%,77.0,2.0,0.0,102.30250000000001,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,55.0,93.0,172.0,0.0,0.0,231.33333333333331,86.0,0.5267261904761904,1.0418882978723405,2.0,0.0
max,85.0,2.0,0.0,154.4,26.887808878,0.0,2194.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,13.64,0.0,25.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,95.0,184.0,280.0,0.0,0.0,370.0,170.0,0.9393939393939394,4.7,2.0,1.0
count,5081.0,5081.0,5081.0,172.0,2638.0,5081.0,5081.0,16.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,2642.0,74.0,5081.0,2640.0,2640.0,5081.0,5081.0,2642.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,146.0,175.0,180.0,5081.0,5081.0,175.0,175.0,172.0,170.0,5081.0,5081.0
mean,70.4418421570557,1.4997047825231253,0.0,78.16198611765407,0.28964084133661866,0.0,7.777996457390278,0.0,0.0,0.005117102932493603,0.004329856327494588,0.00098405825624877,0.0029521747687463098,0.0,0.0,0.0068884077937413895,0.0037394213737453256,0.0027553631174965557,0.0,0.0013776815587482779,0.00787246604999016,0.00196811651249754,0.0017713048612477858,0.009643770911237946,0.0,0.0013776815587482779,0.00492029128124385,0.000393623302499508,0.000590434953749262,0.000590434953749262,0.002361739814997048,0.0025585514662468016,0.000590434953749262,0.0,0.000787246604999016,0.000590434953749262,0.000787246604999016,0.0,0.0,0.0,0.0,0.0,0.32059046177138534,2.1863513513513517,0.0,0.3836363636363636,0.12731060606060607,0.0,0.0,1.7744133232399697,0.0,0.0,0.0,0.0017713048612477858,0.000787246604999016,0.000590434953749262,0.00393623302499508,45.83561643835616,72.15428571428572,124.0111111111111,0.0,0.0,172.25714285714287,52.0,0.4095300369317324,0.6143025892928022,3.0,0.001574493209998032
std,8.748937667315774,0.5000491230148398,0.0,21.616748745435206,2.77404009873551,0.0,52.05494821685104,0.0,0.0,0.07135769292320124,0.06566549562073791,0.03135735013084016,0.05425899790845102,0.0,0.0,0.08271822215818969,0.06104237426158897,0.05242434540753441,0.0,0.03709520691147138,0.08838567659059941,0.044324143442423476,0.042053720462919573,0.09773765224521894,0.0,0.03709520691147138,0.06997889546587457,0.019837989252881483,0.024294083622212657,0.024294083622212657,0.048545090498016745,0.050522347964891634,0.02429408362221266,0.0,0.02804962915239014,0.02429408362221266,0.02804962915239014,0.0,0.0,0.0,0.0,0.0,3.9895480579264833,2.6114235735208897,0.0,3.5306117114184707,1.1676063655927578,0.0,0.0,15.555199682434589,0.0,0.0,0.0,0.042053720462919573,0.02804962915239014,0.024294083622212657,0.0626219681390036,18.057772191328997,19.47778491231259,30.743303560976234,0.0,0.0,40.93502356157253,22.899329910388808,0.11485444936999827,0.31712504437487893,0.0,0.03965253627121675
min,55.0,1.0,0.0,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1736111111111111,0.16417910447761194,3.0,0.0
25%,63.0,1.0,0.0,61.69,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,61.5,107.5,0.0,0.0,150.33333333333334,36.0,0.3180614239767926,0.3538461538461538,3.0,0.0
50%,71.0,1.0,0.0,73.69509853650001,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,73.0,125.5,0.0,0.0,176.66666666666663,50.0,0.4032520325203252,0.5612797374897457,3.0,0.0
