,Age,Gender,Race,Wt,BMI,InitialHospDays,TotalHospDays,NYHA,MLHFS,AF,AlchE,ANGP,ARRH,CARREST,CVD,COPD,DEPR,DIAB,GOUT,HEPT,HTN,MALIG,RENAL,SMOKING,STERD,StrokeTIA,VAHD,VF,VHD,VT,ISCH,NonISCH,CABG,HTRANS,ICD,PACE,PTCI,SixFtWlk,VO2,ALB,ALT,AST,BUN,CRT,DIAL,HEC,HEM,PLA,POT,SOD,TALB,TOTP,WBC,ACE,BET,NIT,DIUR,EjF,BPDIAS,BPSYS,HR,PV,MAP,PP,PPP,PPRatio,cluster,Death
25%,75.0,1.0,1.0,65.83912644349999,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,112.0,0.0,0.0,154.66666666666666,45.0,0.37344011920283104,0.48159303882195453,2.0,0.0
50%,80.0,2.0,1.0,77.3,22.206166861,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.2,0.0,30.0,9.7,0.0,0.0,135.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,50.0,70.0,131.0,0.0,0.0,178.66666666666663,58.0,0.4482758620689655,0.6733805668016195,2.0,0.0
75%,84.0,2.0,1.0,91.0,28.342913829,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.7,0.0,35.7,11.7,0.0,0.0,140.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,60.0,83.0,148.0,0.0,0.0,201.66666666666663,72.0,0.5211134453781513,0.922863247863248,2.0,0.0
max,93.0,2.0,2.0,218.0,190.6122449,0.0,308.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,201.0,15.57,0.0,57.5,29.9,0.0,0.0,161.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,95.0,170.0,221.0,0.0,0.0,309.0,160.0,1.0,4.4,2.0,1.0
count,2505.0,2505.0,2505.0,1101.0,1874.0,2505.0,2495.0,111.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2078.0,1443.0,2505.0,2070.0,2084.0,2505.0,2505.0,2070.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,2505.0,787.0,535.0,538.0,2505.0,2505.0,535.0,535.0,526.0,527.0,2505.0,2505.0
mean,77.10978043912175,1.6331337325349302,1.3528942115768463,78.439846779578,15.813036740601921,0.0,7.30060120240481,0.05405405405405406,0.0,0.021956087824351298,0.026746506986027943,0.01277445109780439,0.023552894211576848,0.004391217564870259,0.0,0.17604790419161676,0.10978043912175649,0.15169660678642716,0.0,0.00718562874251497,0.5125748502994012,0.015568862275449102,0.04231536926147705,0.06147704590818363,0.0,0.0906187624750499,0.12614770459081837,0.0023952095808383233,0.07584830339321358,0.004790419161676647,0.029940119760479042,0.025149700598802394,0.01996007984031936,0.0,0.004790419161676647,0.018363273453093812,0.013572854291417165,0.0,0.0,0.0,0.0,0.0,16.462463907603464,1.6947539847539845,0.0,19.235507246376812,6.35049424184261,0.0,0.0,79.6328502415459,0.0,0.0,0.0,0.07984031936127745,0.14291417165668663,0.01437125748502994,0.19401197604790418,51.907242693773824,70.77383177570094,130.68773234200742,0.0,0.0,177.86292834890963,59.90654205607477,0.45248123130999507,0.7148465152736775,3.0,0.09301397205588822
std,6.484092428728768,0.4820458183681613,0.47796556889628206,22.489154127632705,18.445664958216568,0.0,22.35503553816609,0.4008590284476087,0.0,0.14656941671984683,0.1613738738746256,0.11232230831155941,0.151681706058056,0.06613380945861924,0.0,0.38093696191138804,0.3126783064737046,0.3587981855413244,0.0,0.08447984683827843,0.499941646840743,0.12382485048949184,0.20134786515587605,0.24025124539654846,0.0,0.28712351437535355,0.3320820449292877,0.048891991308428244,0.26480810337211613,0.06906066165367288,0.17045617593540688,0.15661093311106447,0.13989098335359504,0.0,0.06906066165367288,0.13428798363362843,0.11573235854994002,0.0,0.0,0.0,0.0,0.0,21.67002696022341,1.763238452076106,0.0,17.06137954349551,5.6195100350949065,0.0,0.0,68.60064722368686,0.0,0.0,0.0,0.27109994865296894,0.35005517966838057,0.11903941062591038,0.3955171017943327,15.745035516168306,19.31289926413507,32.26708659233548,0.0,0.0,42.69429293636685,21.78312093962706,0.1030705941448064,0.3481327959135317,0.0,0.2905100068875912
min,61.0,1.0,1.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-11.0,-0.23404255319148934,-0.19298245614035087,3.0,0.0
25%,72.0,1.0,1.0,62.68646553399999,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,60.0,114.0,0.0,0.0,156.33333333333334,45.0,0.38643939393939397,0.47962144238739984,3.0,0.0
50%,77.0,2.0,1.0,74.707,18.612385837,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.1,0.0,27.4,9.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,70.0,131.5,0.0,0.0,179.66666666666663,60.0,0.4595165283238678,0.6796116504854369,3.0,0.0
