,Age,Gender,Race,Wt,BMI,InitialHospDays,TotalHospDays,NYHA,MLHFS,AF,AlchE,ANGP,ARRH,CARREST,CVD,COPD,DEPR,DIAB,GOUT,HEPT,HTN,MALIG,RENAL,SMOKING,STERD,StrokeTIA,VAHD,VF,VHD,VT,ISCH,NonISCH,CABG,HTRANS,ICD,PACE,PTCI,SixFtWlk,VO2,ALB,ALT,AST,BUN,CRT,DIAL,HEC,HEM,PLA,POT,SOD,TALB,TOTP,WBC,ACE,BET,NIT,DIUR,EjF,BPDIAS,BPSYS,HR,PV,MAP,PP,PPP,PPRatio,cluster,Death,Rehosp,Readmission
25%,51.75,1.0,1.0,68.925,24.744351260000002,4.0,5.0,3.0,59.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,8.45,3.3,18.75,21.0,25.0,1.2,0.1,32.8,10.8,160.0,3.8,133.0,0.6,6.65,6.1,1.0,0.0,0.0,1.0,15.0,54.0,90.0,66.0,-6.973283868901455,132.0,30.0,0.32,0.3865002311604253,2.0,0.0,0.0,0.0
50%,60.0,1.0,1.0,82.69999999999999,27.644501124999998,7.0,10.0,3.5,76.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,476.5,9.2,3.6,23.0,27.5,33.0,1.5,0.3,36.15,11.75,190.0,4.1,136.0,1.0,7.1,7.2,1.0,1.0,1.0,1.0,20.0,61.0,101.0,74.0,2.8890082224685925,143.33333333333334,40.0,0.39130434782608703,0.524092970521542,2.0,0.0,1.0,0.0
75%,71.0,1.0,2.0,93.775,30.532587120000002,11.0,20.25,4.0,85.75,0.0,0.0,1.0,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.25,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,867.7212,11.355,4.0,32.25,37.75,51.0,1.9,0.6,40.150000000000006,13.350000000000001,241.0,4.5,139.0,1.3,7.55,8.649999999999999,1.0,1.0,1.0,1.0,25.0,68.0,115.0,84.0,13.579717957982878,160.0,50.0,0.4649122807017544,0.716842105263158,2.0,1.0,1.0,0.0
max,83.0,2.0,98.0,134.0,44.80300347,30.0,63.0,4.0,102.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1584.0,17.6,4.8,114.0,112.0,139.0,6.2,0.9,46.8,16.7,514.0,5.5,146.0,1.9,8.9,13.4,1.0,1.0,1.0,1.0,45.0,94.0,167.0,110.0,241.41039236479327,229.66666666666663,103.0,0.680327868852459,1.5344827586206895,2.0,1.0,1.0,1.0
count,174.0,174.0,174.0,163.0,155.0,168.0,174.0,165.0,170.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,168.0,170.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,135.0,57.0,120.0,121.0,119.0,167.0,167.0,85.0,151.0,151.0,148.0,167.0,167.0,125.0,110.0,151.0,174.0,174.0,174.0,174.0,174.0,164.0,164.0,164.0,130.0,164.0,164.0,164.0,164.0,174.0,174.0,174.0,174.0
mean,55.91954022988506,1.264367816091954,3.7011494252873565,85.61360847773007,28.901235025225798,9.214285714285714,19.42528735632184,3.412121212121212,71.07058823529412,0.6551724137931034,0.16091954022988506,0.011494252873563218,0.9885057471264368,0.14942528735632185,0.09195402298850575,0.10344827586206896,0.1724137931034483,0.25287356321839083,0.1724137931034483,0.06896551724137931,0.42528735632183906,0.09195402298850575,0.023809523809523808,1.411764705882353,0.05747126436781609,0.09195402298850575,0.3448275862068966,0.14942528735632185,0.3103448275862069,0.42528735632183906,0.2988505747126437,0.7471264367816092,0.05747126436781609,0.9080459770114943,0.47126436781609193,0.2988505747126437,0.034482758620689655,538.3592136296297,10.798070175438596,3.5966666666666667,41.82644628099174,38.3109243697479,35.13892215568862,1.4455089820359281,0.3078705882352941,40.28675496688742,13.134437086092715,232.63986486486485,4.232335329341317,135.74850299401197,0.8312,6.976363636363635,8.272582781456952,0.9080459770114943,0.5229885057471264,0.3563218390804598,0.9425287356321839,18.25287356321839,62.56707317073171,100.1829268292683,78.83536585365853,-5.209912443771687,141.8943089430894,37.61585365853659,0.3719771735470099,0.4951782367624416,3.0,0.3333333333333333,0.632183908045977,0.20689655172413793
std,13.12123847848803,0.44226872052490956,14.529312562082074,21.950891205661463,7.462113059249363,7.3085487284878194,21.195283685173543,0.715574805517358,17.818139972454116,0.4766837806649742,0.36851720435413826,0.10690094529754138,0.10690094529754139,0.35753606494779827,0.2897949806705981,0.30542239333357885,0.3788298549473128,0.43591351967804026,0.3788298549473128,0.25412679227057294,0.49581331346034996,0.28979498067059806,0.15291111082241715,1.3699576086998198,0.23341257422283085,0.2897949806705981,0.4766837806649742,0.35753606494779827,0.463969921976741,0.49581331346034996,0.4590752838820057,0.43591351967804026,0.23341257422283085,0.2897949806705981,0.5006141998630396,0.4590752838820057,0.18299220502486024,448.05932328831426,3.2617104619884048,0.5203317192322756,51.40682148086809,31.19831261711518,18.525176129756016,0.4604485224064759,0.3449605839538667,26.987470365576907,5.8842167007185795,82.31308468394133,0.5563726606145007,4.765233736633495,0.5091764381442747,0.8334659888854837,6.800090829155755,0.2897949806705981,0.5009127274892904,0.48029402108284436,0.2334125742228309,5.217175704415382,10.79259635891162,15.16464086239469,13.833930652155331,63.08345825349991,20.49552318143295,11.787692130771987,0.08536920292619539,0.18435616818235528,0.0,0.47276499842729225,0.48360262980527835,0.4062497604298523
min,22.0,1.0,1.0,47.9,16.57439446,1.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.7,10.0,16.0,12.0,0.7,0.0,24.0,7.9,79.0,2.9,119.0,0.1,3.7,2.2,0.0,0.0,0.0,0.0,5.0,40.0,65.0,50.0,-477.8577609450833,95.66666666666669,10.0,0.09803921568627452,0.1,3.0,0.0,0.0,0.0
25%,48.25,1.0,1.0,67.9,23.092072025,5.0,6.0,3.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,100.0,8.4,3.2,21.0,23.0,23.0,1.1,0.1,34.2,11.4,172.0,3.9,133.0,0.5,6.4,5.9,1.0,0.0,0.0,1.0,15.0,55.75,90.0,69.0,-9.44966291500945,130.0,30.0,0.3101395730706076,0.3636363636363637,3.0,0.0,0.0,0.0
50%,56.0,1.0,1.0,83.90909091,28.09606411,7.0,12.0,4.0,74.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,494.0,10.2,3.6,29.0,31.0,30.0,1.4,0.2,38.3,12.6,228.5,4.2,136.0,0.8,7.0,7.3,1.0,1.0,0.0,1.0,20.0,62.0,98.0,79.5,-4.124059425043401,137.66666666666669,37.0,0.365304420350292,0.45807962529274004,3.0,0.0,1.0,0.0
75%,66.75,2.0,2.0,100.62727275,32.682457635,10.0,25.5,4.0,83.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,879.5,12.4,4.0,44.0,42.5,44.0,1.7,0.4,41.5,13.9,288.25,4.55,139.0,1.1,7.5,9.05,1.0,1.0,1.0,1.0,21.75,70.0,109.25,88.0,15.913079458387447,156.41666666666666,46.0,0.4337848212327265,0.6102582496413199,3.0,1.0,1.0,0.0
max,80.0,2.0,98.0,134.0,57.06555671,44.0,121.0,4.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1814.0,18.2,4.8,453.0,279.0,102.0,3.2,1.5,362.0,81.0,528.0,6.6,146.0,2.4,8.9,85.0,1.0,1.0,1.0,1.0,30.0,100.0,165.0,118.0,82.72403752830797,210.66666666666669,103.0,0.6242424242424243,1.2875,3.0,1.0,1.0,1.0
count,114.0,114.0,114.0,106.0,106.0,112.0,114.0,110.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,112.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,96.0,37.0,57.0,59.0,61.0,108.0,109.0,49.0,101.0,99.0,96.0,109.0,109.0,63.0,56.0,97.0,114.0,114.0,114.0,114.0,111.0,111.0,111.0,111.0,86.0,111.0,111.0,111.0,111.0,114.0,114.0,114.0,114.0
mean,57.771929824561404,1.2280701754385965,3.3157894736842106,80.39005145867925,27.60942511509434,7.946428571428571,15.464912280701755,3.309090909090909,73.28070175438596,0.0,0.21929824561403508,0.35964912280701755,0.017543859649122806,0.0,0.06140350877192982,0.21929824561403508,0.07017543859649122,0.2543859649122807,0.14912280701754385,0.06140350877192982,0.49122807017543857,0.10526315789473684,0.03571428571428571,1.719298245614035,0.08771929824561403,0.06140350877192982,0.21052631578947367,0.0,0.11403508771929824,0.017543859649122806,0.9912280701754386,0.6228070175438597,0.2631578947368421,0.9298245614035088,0.05263157894736842,0.10526315789473684,0.22807017543859648,494.38627999999994,11.31972972972973,3.5596491228070173,29.203389830508474,30.918032786885245,34.201851851851856,1.5080733944954128,0.3257142857142857,37.66237623762376,12.471616161616161,229.36145833333333,4.368807339449541,136.74311926605503,0.8253968253968254,7.076785714285714,7.638969072164949,0.9210526315789473,0.631578947368421,0.4824561403508772,0.9385964912280702,19.414414414414413,66.15315315315316,107.01801801801801,82.1981981981982,6.009526758039001,151.1201201201201,40.86486486486486,0.37939634226582564,0.5185522523719981,4.0,0.21929824561403508,0.543859649122807,0.12280701754385964
